year,cowID,herd,milkAUC,cowage,calvedate,nextcalvedate,preg,first21,precalveBW,precalveBCS,prebreedBW,prebreedBCS,breedBW,breedBCS,weanBW,weanBCS,prebreedBWchange,breedBWchange,weanBWchange,sire,calfbirth,calf30,calf60,calf90,calf120,calfwean,calfsex,qualitygrade,yieldgrade,livewt,hcw,rea,marb,bf,firstd,cdate,seasonyr,cowagen
2020,4008,March,860.3356933,6,78,79,1,1,536.145744,5,508.476632,5,464.024616,5.25,469.921312,4.75,-27.669112,-72.121128,-66.224432,D026,34.0194,63.049288,77.11064,108.86208,148.778176,230.424736,steer,1,2.68,584.629688888889,368.316704,88.8901448,542,1.15824,69,10,March2020,6
2020,4045,March,1372.741249,6,72,78,1,1,548.392728,5.5,497.136832,5,489.425768,5.625,486.250624,5,-51.255896,-58.96696,-62.142104,7162E,37.194544,76.657048,94.347136,131.54168,171.911368,262.629768,steer,1,2.7,596.8694730158729,376.027768,94.257876,531,1.38938,69,4,March2020,6
2020,4218,March,1048.074925,6,85,86,1,1,534.784968,5,516.187696,5,504.394304,5.125,478.53956,5,-18.597272,-30.390664,-56.245408,7058E,29.937072,52.616672,71.667536,101.604608,135.170416,206.837952,steer,1,3.13,555.8301968253968,350.173024,84.2707992,601,1.48082,69,17,March2020,6
2020,4224,March,1110.653032,6,81,.,0,.,628.22492,5,574.247472,5,585.587272,5.75,531.609824,4.75,-53.977448,-42.637648,-96.615096,7162E,39.916096,78.925008,96.161504,140.159928,181.4368,267.61928,steer,1,2.15,669.5881904761904,421.84056,100.1352836,552,.7874,69,13,March2020,6
2020,4251,March,1218.710141,6,81,77,1,1,588.762416,5,524.352352,5,542.949624,6,532.063416,5.25,-64.410064,-45.812792,-56.699,B179,30.390664,58.96696,77.564232,106.59412,146.963808,226.342408,heifer,.,.,.,.,.,.,.,69,13,March2020,6
2020,4253,March,1115.233139,6,78,78,1,1,509.837408,5,471.282088,5,434.541136,5.75,458.12792,5,-38.55532,-75.296272,-51.709488,7162E,37.194544,69.853168,83.91452,104.779752,159.664384,240.857352,steer,1,3.07,606.9492952380953,382.378056,92.161106,571,1.58496,69,10,March2020,6
2020,4263,March,894.6621705,6,71,93,1,1,589.6696,5.5,568.804368,5,584.226496,6,554.289424,5,-20.865232,-5.443104,-35.380176,B179,29.029888,61.688512,79.3786,104.779752,140.159928,217.72416,heifer,.,.,.,.,.,.,.,69,3,March2020,6
2020,4268,March,976.8842136,6,80,.,1,.,600.102216,5,531.156232,5.125,540.681664,5.5,503.940712,5,-68.945984,-59.420552,-96.161504,7058E,34.472992,64.410064,74.389088,112.944408,145.14944,234.053472,heifer,.,.,.,.,.,.,.,69,12,March2020,6
2020,4287,March,1038.949403,6,78,83,1,1,528.43468,5,490.332952,4.75,477.178784,5.375,469.014128,5,-38.101728,-51.255896,-59.420552,D026,36.740952,58.513368,75.749864,100.697424,132.902456,199.58048,heifer,.,.,.,.,.,.,.,69,10,March2020,6
2020,4288,March,1024.957195,6,85,77,1,1,464.478208,5,438.169872,5.5,429.551624,5.375,413.222312,5.25,-26.308336,-34.926584,-51.255896,7058E,28.122704,49.89512,63.956472,96.615096,136.984784,208.198728,steer,1,1.82,547.1903492063492,344.72992,100.5997988,400,1.04902,69,17,March2020,6
2020,4305,March,1126.714686,6,71,.,0,.,552.021464,5.5,496.68324,5.125,527.981088,6,487.157808,5.25,-55.338224,-24.040376,-64.863656,7109E,32.205032,68.945984,82.100152,118.841104,152.860504,232.692696,heifer,.,.,.,.,.,.,.,69,3,March2020,6
2020,4314,March,1151.630028,6,69,78,1,1,549.753504,5,503.940712,4.875,528.888272,5.5,506.208672,4.75,-45.812792,-20.865232,-43.544832,7109E,34.0194,75.296272,96.615096,134.263232,176.90088,266.258504,steer,1,2.94,627.1089396825398,395.078632,95.0836808,517,1.48336,69,1,March2020,6
2020,4354,March,872.2848443,6,81,84,1,1,535.692152,5,489.87936,4.625,479.446744,5,477.178784,5,-45.812792,-56.245408,-58.513368,7162E,31.75144,61.23492,75.749864,106.59412,137.891968,216.363384,heifer,.,.,.,.,.,.,.,69,13,March2020,6
2020,5001,March,1042.374612,5,72,72,1,1,555.6502,5,532.063416,4.75,518.455656,5.625,483.529072,5,-23.586784,-37.194544,-72.121128,7071E,36.28736,81.192968,99.336648,139.252744,176.90088,257.640256,heifer,.,.,.,.,.,.,.,69,4,March2020,5
2020,5023,March,955.5086017,5,86,86,1,1,527.073904,5,490.332952,5,485.34344,5.5,469.46772,4.75,-36.740952,-41.730464,-57.606184,D026,33.112216,57.606184,63.50288,108.408488,164.200304,242.67172,heifer,.,.,.,.,.,.,.,69,18,March2020,5
2020,5037,March,850.6136088,5,78,74,1,1,571.979512,5,527.981088,5.125,527.527496,5.875,508.476632,5.25,-43.998424,-44.452016,-63.50288,C171,38.55532,71.213944,86.636072,117.026736,156.942832,240.857352,steer,1,1.82,629.2689015873016,396.439408,106.5933352,431,.96266,69,10,March2020,5
2020,5044,March,987.2385015,5,77,98,1,0,493.961688,5,463.117432,5.125,449.963264,5.625,430.9124,5,-30.844256,-43.998424,-63.049288,7162E,27.21552,54.43104,73.028312,99.336648,131.995272,205.930768,heifer,.,.,.,.,.,.,.,69,9,March2020,5
2020,5060,March,774.4688938,5,88,.,0,.,467.653352,4.5,423.654928,4,449.509672,4.75,414.129496,4.5,-43.998424,-18.14368,-53.523856,7071E,37.194544,55.791816,69.853168,104.32616,138.799152,221.806488,steer,0,1.8,590.3895873015873,371.94544,101.1352816,388,.92202,69,20,March2020,5
2020,5101,March,1161.779062,5,83,104,1,0,564.72204,5,534.784968,4.625,530.249048,5.25,505.301488,4.5,-29.937072,-34.472992,-59.420552,C171,32.205032,58.96696,75.296272,113.851592,145.603032,232.692696,heifer,.,.,.,.,.,.,.,69,15,March2020,5
2020,5114,March,872.7526936,5,70,68,1,1,469.921312,5.5,445.427344,4.75,398.253776,5.125,439.530648,5,-24.493968,-71.667536,-30.390664,D026,36.28736,66.678024,94.347136,112.490816,147.4174,227.703184,steer,1,3.18,586.0696634920635,369.223888,86.12886,559,1.4732,69,2,March2020,5
2020,5124,March,1032.723017,5,82,78,1,1,493.508096,5,453.592,4.625,454.499184,5.5,443.159384,5,-39.916096,-39.008912,-50.348712,B179,33.565808,64.410064,78.471416,116.119552,140.61352,208.65232,steer,1,2.58,513.350946031746,323.411096,84.4385408,504,1.17348,69,14,March2020,5
2020,5182,March,995.0889525,5,77,85,1,1,598.287848,5.5,546.57836,5.375,580.144168,6,558.825344,6,-51.709488,-18.14368,-39.462504,C171,35.380176,63.956472,80.285784,108.408488,143.335072,219.99212,heifer,.,.,.,.,.,.,.,69,9,March2020,5
2020,5195,March,821.833078,5,82,79,1,1,537.50652,5,495.322464,5,504.847896,5.25,487.6114,5,-42.184056,-32.658624,-49.89512,C171,33.112216,62.142104,71.213944,106.59412,137.438376,206.38436,steer,.,.,.,.,.,.,.,69,14,March2020,5
2020,5213,March,722.1102005,5,76,88,1,1,528.888272,5,487.6114,4.5,510.744592,5.375,491.240136,4.75,-41.276872,-18.14368,-37.648136,C171,38.55532,66.224432,82.553744,111.583632,146.963808,223.167264,heifer,.,.,.,.,.,.,.,69,8,March2020,5
2020,5245,March,786.8294155,5,77,82,1,1,453.138408,5,400.068144,4.875,391.903488,5,391.903488,4.5,-53.070264,-61.23492,-61.23492,7058E,37.194544,69.853168,81.64656,107.047712,146.510216,228.156776,heifer,.,.,.,.,.,.,.,69,9,March2020,5
2020,5299,March,931.7867584,5,77,82,1,1,566.536408,5,493.961688,5,494.41528,5.75,522.084392,5.5,-72.57472,-72.121128,-44.452016,D026,40.82328,70.760352,84.821704,117.93392,156.035648,232.692696,steer,1,2.28,614.1491682539682,386.913976,96.9223868,600,1.01092,69,9,March2020,5
2020,6122,March,687.9331083,4,76,76,1,1,491.693728,5.5,458.581512,5.125,413.675904,5.625,459.942288,5,-33.112216,-78.017824,-31.75144,7162E,32.658624,57.152592,74.389088,92.532768,119.748288,191.869416,steer,1,3.38,530.6306412698412,334.297304,78.6191976,559,1.61036,69,8,March2020,4
2020,6126,March,799.4298044,4,72,78,1,1,551.567872,5.5,537.052928,5.25,539.77448,6,546.57836,5.5,-14.514944,-11.793392,-4.989512,7071E,29.48348,66.678024,81.64656,117.026736,150.138952,235.86784,heifer,.,.,.,.,.,.,.,69,4,March2020,4
2020,6164,March,898.4546161,4,82,80,1,1,510.291,5,464.9318,4.75,493.054504,5.25,469.46772,5,-45.3592,-17.236496,-40.82328,C171,34.472992,59.874144,78.471416,112.037224,150.592544,223.620856,steer,1,4.02,573.8298793650794,361.512824,78.4966172,727,1.96596,69,14,March2020,4
2020,6254,March,1045.954726,4,80,76,1,1,527.527496,6,479.446744,5.25,497.136832,5.75,507.115856,5,-48.080752,-30.390664,-20.41164,D026,38.101728,68.492392,80.285784,111.583632,145.603032,227.249592,heifer,.,.,.,.,.,.,.,69,12,March2020,4
2020,3711,May,968.7467904,7,139,139,1,1,508.02304,4.5,538.413704,5.75,468.560536,5.125,527.527496,5,30.390664,-39.462504,19.504456,D026,35.380176,92.532768,116.573144,146.056624,178.261656,213.641832,steer,1,3.4,659.3809523809524,415.41,96.2514204,504,1.83896,124,16,May2020,6
2020,3739,May,1110.713992,7,141,.,0,.,502.126344,5,504.847896,5.375,532.517008,5.875,503.033528,5.25,2.721552,30.390664,0.907184,7071E,34.926584,86.636072,111.583632,142.427888,179.16884,215.4562,steer,1,2.41,717.752380952381,452.184,104.5288232,449,1.02362,124,18,May2020,6
2020,3750,May,492.3461521,7,142,152,1,1,577.422616,5.5,601.462992,6.375,641.379088,6.125,601.916584,6,24.040376,63.956472,24.493968,D026,30.844256,57.606184,72.57472,74.389088,115.212368,146.056624,heifer,.,.,.,.,.,.,.,124,19,May2020,6
2020,3759,May,1183.197274,7,134,135,1,1,512.55896,4.5,522.991576,5.875,537.50652,5.75,503.48712,5,10.432616,24.94756,-9.07184,D026,34.0194,95.707912,119.294696,146.510216,179.622432,219.538528,heifer,.,.,.,.,.,.,.,124,11,May2020,6
2020,3789,May,750.8008053,7,138,138,1,1,552.475056,5,606.906096,5.875,615.070752,5.625,525.713128,5.25,54.43104,62.595696,-26.761928,C171,38.101728,93.893544,118.841104,145.14944,176.447288,223.620856,heifer,.,.,.,.,.,.,.,124,15,May2020,6
2020,4704,May,1096.881107,6,137,135,1,1,552.475056,4.75,634.575208,6.125,623.235408,6,591.93756,6,82.100152,70.760352,39.462504,D026,43.09124,99.79024,125.644984,153.314096,189.601456,218.631344,steer,1,2.58,655.0571428571429,412.686,97.290128,421,1.11252,124,14,May2020,6
2020,4744,May,844.3002645,6,144,141,1,1,570.165144,5.25,629.132104,6,645.915008,6,576.06184,5.75,58.96696,75.749864,5.896696,C171,38.55532,78.925008,104.32616,141.974296,178.261656,225.888816,heifer,.,.,.,.,.,.,.,124,21,May2020,6
2020,4748,May,826.888593,6,124,137,1,1,491.240136,4.5,610.988424,6,610.08124,6,491.240136,5,119.748288,118.841104,0,8147F,36.28736,107.501304,131.088088,164.653896,201.394848,236.775024,heifer,.,.,.,.,.,.,.,124,1,May2020,6
2020,4797,May,971.4805599,6,135,150,1,1,468.106944,5,523.89876,5.25,532.517008,5.25,489.87936,5,55.791816,64.410064,21.772416,C171,38.55532,98.883056,122.46984,157.396424,193.230192,228.156776,heifer,.,.,.,.,.,.,.,124,12,May2020,6
2020,4798,May,1125.239768,6,137,149,1,1,452.684816,5,526.620312,6,531.156232,6,439.530648,5,73.935496,78.471416,-13.154168,D026,28.576296,87.996848,87.996848,111.13004,138.34556,172.36496,heifer,.,.,.,.,.,.,.,124,14,May2020,6
2020,5602,May,1086.445039,5,126,150,1,1,484.889848,5,505.75508,5.625,508.476632,5.625,492.600912,5,20.865232,23.586784,7.711064,C171,30.390664,99.336648,122.923432,150.138952,183.251168,213.641832,heifer,.,.,.,.,.,.,.,124,3,May2020,5
2020,5612,May,871.3610093,5,147,149,1,1,447.695304,5.25,492.14732,5.5,524.805944,5.125,437.262688,4.75,44.452016,77.11064,-10.432616,7060E,39.008912,85.728888,112.944408,149.68536,191.415824,227.249592,steer,1,2.38,682.4412698412698,429.938,103.8449536,583,1.10998,124,24,May2020,5
2020,5639,May,913.5689724,5,143,.,1,.,467.653352,5,465.385392,5.875,463.117432,5.5,495.322464,5.5,-2.26796,-4.53592,27.669112,D026,33.112216,69.399576,92.532768,125.644984,165.107488,212.734648,steer,1,2.74,642.0857142857143,404.514,92.1030416,502,1.09728,124,20,May2020,5
